year,A_we,A_wp1,A_wp2,V_a,V_ETb,GVA_a,c_r,WPb_mean,ETb_mean
2018,0.06752325769999416,0.05402718154882257,0.20053592346587476,2932600000.0,3665168158.958282,4221065886.57458,0.9530879851554044,4.010718469317495,805.4075546527528
2019,0.06545951022718437,0.20061850954920088,0.1283138803079856,2933000000.0,957004136.4964199,4092613462.29408,0.9530879851554044,2.566277606159712,210.29822587655084
2020,0.07643747616094707,0.03322078020016014,0.04371989960687753,2710000000.0,6235421297.997332,4415618495.22714,0.9530879851554044,0.8743979921375504,1370.2114615328042
2021,0.08222140697993936,0.027365221922256072,0.027477404817402285,2710000000.0,8142452253.764355,4749742974.2416,0.9530879851554044,0.5495480963480457,1789.2746728556826
2022,0.08334751599330206,0.019863977507274536,0.057925547434801196,2710000000.0,11370923484.943052,4814795721.09808,0.9530879851554044,1.158510948696024,2498.719644218044
2023,0.0778516366198631,0.05083675501221443,0.0834539459478345,2710000000.0,4150106260.502619,4497311316.48749,0.9530879851554044,1.66907891895669,911.9709628194825
