year,A_we,A_wp1,A_wp2,V_a,V_ETb,GVA_a,c_r,WPb_mean,irrigation_efficiency
2018,0.06752325769999416,0.09646179671427739,0.20053592346587476,2932600000.0,2052819999.9999998,4221065886.57458,0.9530879851554044,4.010718469317495,0.7
2019,0.06545951022718437,0.09351358603883482,0.1283138803079856,2933000000.0,2053099999.9999998,4092613462.29408,0.9530879851554044,2.566277606159712,0.7
2020,0.07643747616094707,0.10919639451563869,0.04371989960687753,2710000000.0,1896999999.9999998,4415618495.22714,0.9530879851554044,0.8743979921375504,0.7
2021,0.08222140697993936,0.11745915282848482,0.027477404817402285,2710000000.0,1896999999.9999998,4749742974.2416,0.9530879851554044,0.5495480963480457,0.7
2022,0.08334751599330206,0.11906787999043153,0.057925547434801196,2710000000.0,1896999999.9999998,4814795721.09808,0.9530879851554044,1.158510948696024,0.7
2023,0.0778516366198631,0.11121662374266157,0.0834539459478345,2710000000.0,1896999999.9999998,4497311316.48749,0.9530879851554044,1.66907891895669,0.7
