"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1902205139.46726","2050215598.14102","2098075453.6784","1817613988.15802","1728561668.52697","1728457144.54852","1736924917.50731","1569706412.82118","1434808157.53483","1574360720.16992","1979977735.44196","2042847278.84223","2043447661.24309",
"American Samoa","ASM","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","3851851.85185185","3925925.92592593","3851851.85185185","3959259.25925926","4270370.37037037","4314814.81481481","4711111.11111111","4077777.77777778","4918518.51851852","5181481.48148148","6111111.11111111","6648148.14814815","7025925.92592593","7655555.55555556","7981481.48148148","8318518.51851852","8585185.18518518","8459259.25925926","8600000","9233333.33333333","10485185.1851852","10800000","11311111.1111111","11614814.8148148","11322222.2222222","12229629.6296296","12896296.2962963","12737037.037037","15203703.7037037","16070370.3703704","17537037.037037","17607407.4074074","15418518.5185185","15770370.3703704","18218518.5185185","18792592.5925926","19670370.3703704","19870370.3703704","20781481.4814815","21725925.9259259","25492592.5925926","27029629.6296296","28429629.6296296","32170370.3703704","33337037.037037","36503703.7037037","38977777.7777778","",
"Australia","AUS","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13059507677.1067","10337322750.351","9905421680.26099","10152473299.6065","10775510204.0816","11080338580.3386","13560687738.4767","14068689828.3146","12105405955.3687","11874921669.3821","12944601726.7842","13275181630.1582","15613971475.0185","13505532906.2318","18818466353.6776","20076752778.6235","20439533452.431","18861584360.5245","24735127856.653","21371731325.9647","25325453168.2139","32061703917.0314","35095208927.5513","36044816467.3125","32606330679.2549","32106668352.8422","29031102777.1793","35876191316.5589","35124639568.4122","29466982403.9182","26731002694.1494","35864700205.7664","45200490787.5747","44471590679.643","38866547522.4248",
"Austria","AUT","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","2211830175.65391","2292053117.97519","2762041125.74623","3197362840.96758","3579584131.03595","2841205287.71384","2620233927.56312","2481288493.94822","2455630286.77532","2193395184.8896","3222311852.18567","4003138876.79582","4098444221.55355","4041732709.30837","5198242768.97011","4926284030.64231","4825532181.31731","4231545013.60464","4866883508.01108","5246108912.24239","4663600207.95425","4164682602.3227","3990725878.16808","3854527600.89499","3277990526.88785","3356332246.82835","3388867205.27491","3877615561.99293","4467738877.36835","4026108766.28171","4432661871.88588","5654292255.11335","5945073048.22656","4697860125.53945","5040028754.61668","6268343372.03309","5766425775.98086","5451058618.01884","5594036489.07959","4340597497.75195","4524580484.75604","4978707157.63648","5019654229.64862","4627558347.48235","4654053944.11519","5842183609.31774","6485712872.62454","6636405140.52953","6410636449.875",
"Azerbaijan","AZE","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2354545454.54545","1629000000","115876383.763838","425726431.607902","385929405.021573","612659438.161387","792906272.922036","797541009.315309","806926854.484363","842927407.033456","848093103.613979","846865245.668231","870223542.529861","904142561.289258","953804635.411155","1211629528.00922","1487836408.50864","2161459183.05513","2721452739.70935","2711552744.95728","2933590829.80314","3347912967.93916","3581388540.62585","3979651796.4007","4002310201.98968","3278858128.92118","2122487500.95568","2291542597.84854","2455681325.53969","2743705882.35294","2877058823.52941","3139294117.64706","3634764705.88235","3991235294.11765","4204176470.58824",
"Burundi","BDI","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","158580571.428571","163745142.857143","149990857.142857","192688426.347195","210728888.888889","258080000","266695652.173913","304321111.111111","329302222.222222","421235555.555556","529504444.444444","563428888.888889","533083333.333333","579172673.480366","539571464.372233","643436075.896926","631141280.546553","572028164.454516","521887531.607251","524904359.444623","578015240.430936","567331265.529191","519907053.667014","442751235.584843","376786470.516063","420406953.931406","463898280.759703","412720733.077905","398073904.848385","384930042.941302","383945638.22554","384414355.99446","357673252.260885","336156027.69208","383516660.671626","456319729.242213","517470118.432038","473777025.577097","612575369.383833","654174628.857131","780960635.272297","820648548.279151","826470260.731219","940617724.03233","945892940.835702","952454092.334736","834186113.100745","777492756.183932","773800245.488632","743181154.110079","758469649.992485","795550013.443296","920376194.666988","666337112.11796","",
"Belgium","BEL","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3763409961.68582","3708664495.11401","3388362652.23275","3246276950.43343","2779331820.77221","2784691835.29412","2626344026.61418","2669449184.43138","3274483103.21568","3776736213.66796","3242472476.88716","3704016529.41176","4179546876.19609","3685124902.5","3485700750.50781","4083207333.33334","3828712118.67705","4209481604.53125","4007064936.11766","3854777875.76469","3460681657.14844","3192751338.67705","3654292669.64707","3606516977.49019","3857933055.68627","3775757677.3541","3919719661.62784","4137533404.08562","4958806052.35303","5321956526.79687",
"Benin","BEN","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","104406728.746183","108864072.803819","105708348.300684","111013049.492358","122843607.834141","129355586.313076","136764139.377849","128861300.520732","126835489.716478","127327036.522084","121199783.271635","115123506.255748","140460789.641923","169591009.268494","174903176.368811","206707115.157324","231847142.362468","238928997.414426","320842447.87616","415096468.979903","497918508.96316","421739920.921116","412043277.216639","363191659.778359","350149141.562701","329875839.108509","449879701.444536","519970020.153488","557042113.453094","568721866.386304","679224914.313929","696122762.097968","575422295.862592","776066953.394997","516082558.494786","717933082.493583","843043720.855749","811642110.972374","897990653.897092","902224159.668691","828649421.520085","918321412.162067","1064638649.01916","1308106704.3743","1641712277.63826","1752869573.35563","1873310698.34103","2203281143.6824","2625672951.00316","2627379702.26728","2464041425.56528","2758556200.4376","2871013880.15675","3163936007.16732","3403290519.25163","3005573140.73985","3280775528.93251","3618576830.63187","4002712584.9455","3867881064.21888","4252546317.37706","5046093382.26284","4686855234.45453","4997403942.39714","5205614709.05457",
"Burkina Faso","BFA","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","127169375.623047","134169237.196191","143699484.156918","151680572.534524","158716967.909977","149775069.41192","157359657.901112","150605815.982702","145471953.282644","153140051.5372","139867713.58532","147614980.025691","184584143.229663","198373449.105424","231534051.512453","271334014.424703","283349706.320339","321522238.425841","444454575.653387","513702748.085193","548650313.088742","529271698.996141","482812583.605949","441914230.057491","416048900.144254","526359898.490008","597867373.349777","659200995.651238","746793126.199623","722626949.902642","866814258.404947","934032449.024494","967056775.967156","967253518.693231","624456005.14157","790409651.617333","940965722.711942","825813661.50561","1025572050.02053","923734436.9561","739540805.9462","858861627.380904","955302403.942775","1230749718.83045","1274683199.97826","1645435231.15251","1651846985.87478","1665418778.5408","2581591577.02858","2193019762.04758","2440804580.10647","2783741178.69577","2983995390.92589","3178379553.08911","3303626546.87071","2679569780.7725","2786728573.26875","2904102983.38907","3336512409.62635","2921262720.82891","3175464629.30418","3405743063.7178","3481121757.97647","3319915565.85207","4321684142.90127",
