m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
788,Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Tunisia,2017,11.727925758,US$/m3,I,false
788,Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Tunisia,2018,11.263467845,US$/m3,I,false
788,Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Tunisia,2019,11.44371641,US$/m3,I,false
788,Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Tunisia,2020,11.003057064,US$/m3,I,false
788,Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Tunisia,2021,11.683728627,US$/m3,I,false
788,Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Tunisia,2022,12.015383929,US$/m3,I,false
788,Water use,Pressure on water resources,SDG 6.4.2. Agricultural Sector Contribution to Water Stress,Tunisia,2017,66.628308585,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Agricultural Sector Contribution to Water Stress,Tunisia,2018,73.224445535,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Agricultural Sector Contribution to Water Stress,Tunisia,2019,73.558398782,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Agricultural Sector Contribution to Water Stress,Tunisia,2020,74.116996093,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Agricultural Sector Contribution to Water Stress,Tunisia,2021,74.116996093,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Agricultural Sector Contribution to Water Stress,Tunisia,2022,74.116996093,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Industrial Sector Contribution to Water Stress,Tunisia,2017,2.228371525,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Industrial Sector Contribution to Water Stress,Tunisia,2018,1.145583292,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Industrial Sector Contribution to Water Stress,Tunisia,2019,1.700395308,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Industrial Sector Contribution to Water Stress,Tunisia,2020,1.692930649,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Industrial Sector Contribution to Water Stress,Tunisia,2021,1.692930649,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Industrial Sector Contribution to Water Stress,Tunisia,2022,1.692930649,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Municipal Sector Contribution to Water Stress,Tunisia,2017,20.674335811,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Municipal Sector Contribution to Water Stress,Tunisia,2018,21.628752374,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Municipal Sector Contribution to Water Stress,Tunisia,2019,21.051796774,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Municipal Sector Contribution to Water Stress,Tunisia,2020,22.303472441,%,E,false
