year,GVA_a,V_a,c_r
2018,4221065886.57458,2932600000.0,0.9530879851554044
2019,4092613462.29408,2933000000.0,0.9530879851554044
2020,4415618495.22714,2710000000.0,0.9530879851554044
2021,4749742974.2416,2710000000.0,0.9530879851554044
2022,4814795721.09808,2710000000.0,0.9530879851554044
2023,4497311316.48749,2710000000.0,0.9530879851554044
